Film,Director,Year,Rating,Votes,Mean_Rating
Ben-Hur,William Wyler,1959,8.1,215101,8.052
Hachi: A Dog's Tale,Lasse Hallström,2009,8.1,246217,8.052
Dead Poets Society,Peter Weir,1989,8.1,411855,8.052
Into the Wild,Sean Penn,2007,8.1,561314,8.052
Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,8.1,744348,8.051
Platoon,Oliver Stone,1986,8.1,373798,8.051
Le salaire de la peur,Henri-Georges Clouzot,1953,8.1,53044,8.051
Logan,James Mangold,2017,8.1,628557,8.05
Life of Brian,Terry Jones,1979,8.1,359712,8.05
Rush,Ron Howard,2013,8,423391,8.049
Ah-ga-ssi,Chan-wook Park,2016,8,105070,8.045
Du rififi chez les hommes,Jules Dassin,1955,8,26661,8.044
La passion de Jeanne d'Arc,Carl Theodor Dreyer,1928,8,45925,8.044
Les quatre cents coups,François Truffaut,1959,8,102108,8.043
Andrei Rublev,Andrei Tarkovsky,1966,8,44919,8.042
Hotel Rwanda,Terry George,2004,8,329571,8.042
Spotlight,Tom McCarthy,2015,8,407553,8.041
Amores perros,Alejandro G. Iñárritu,2000,8,219504,8.04
Kaze no tani no Naushika,Hayao Miyazaki,1984,8,145287,8.035
La haine,Mathieu Kassovitz,1995,8,144816,8.035
Rocky,John G. Avildsen,1976,8,506826,8.034
Rang De Basanti,Rakeysh Omprakash Mehra,2006,8,109187,8.034
Gangs of Wasseypur,Anurag Kashyap,2012,8,78755,8.034
"Monsters, Inc.",Pete Docter,2001,8,795924,8.032
Rebecca,Alfred Hitchcock,1940,8,119524,8.031
Portrait de la jeune fille en feu,Céline Sciamma,2019,8,50688,8.023
Before Sunset,Richard Linklater,2004,8,229245,8.019
Fa yeung nin wah,Kar-Wai Wong,2000,8,119430,8.017
It Happened One Night,Frank Capra,1934,8,91536,8.017
Drishyam,Nishikant Kamat,2015,8,66263,8.016
"Paris, Texas",Wim Wenders,1984,8,86819,8.015
The Circus,Charles Chaplin,1928,8,27622,8.014
Contratiempo,Oriol Paulo,2016,8,127906,8.012
The Help,Tate Taylor,2011,8,420008,8.011
The Princess Bride,Rob Reiner,1987,8,385685,8.011
La battaglia di Algeri,Gillo Pontecorvo,1966,8,51299,8.009
The Terminator,James Cameron,1984,8,785264,8.009
Trois couleurs: Rouge,Krzysztof Kieslowski,1994,8,87900,8.007
Yedinci Kogustaki Mucize,Mehmet Ada Öztekin,2019,8,29037,8.007
Mandariinid,Zaza Urushadze,2013,8,37468,8.007
Aladdin,Ron Clements,1992,8,364320,8.007
